timestamp_unix,timestamp_readable,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder,left_torso,right_torso,shoulder_line,neck_tilt
1778588870.8404322,20:27:50.84,175.04001476243818,175.1042778570295,164.66590878494856,156.3517017729261,75.26695317299999,96.66142722400411,129.95889783729154,138.84436406594972,120.97826917733991,119.54676730435752,144.7406242830571,99.30317711463891
1778588871.2205937,20:27:51.22,176.01283932746418,175.273008197745,165.62093377172624,156.95458295234323,63.86270082869674,94.32039353701174,127.2054587426797,136.49262118618543,117.7711941929766,120.53546230631605,149.26033510152445,100.80111679262245
1778588871.4145505,20:27:51.41,174.87367120323404,177.21432489359904,168.93711358395296,157.21566363511351,57.636360286326465,103.30182345021697,125.56207009630171,135.28440683736088,117.04651663517714,121.80704639292934,151.525456957653,100.50979536813298
1778588871.614264,20:27:51.61,175.32370629902934,175.58560642901782,169.36071654991338,162.70882771943124,55.80478773762245,88.0621786925792,125.00006767956134,131.6937339426142,114.88772930229146,121.85228460503087,150.58841975537135,103.38476997334091
1778588871.812577,20:27:51.81,174.32964066967034,175.06027996542988,171.9341730334102,164.44322738335785,53.15042553590128,69.34349882878475,122.01384012307213,127.36569160406631,111.36507030506596,117.92858679105068,151.91937706436323,108.09365651947775
1778588872.0364356,20:27:52.03,173.61290744046224,175.75710437117422,172.4407505976692,166.68421531829748,50.67267124877189,51.93226099710646,116.25493047945055,123.80419394858546,96.89021183686293,102.79761293369603,149.89084518774573,130.17277300569236
1778588872.2236047,20:27:52.22,173.3817507330161,176.4423900005336,171.1449101005784,167.68427852213458,43.04594835663882,52.53138480945378,114.2864922966613,121.81395502887659,89.30071934020104,94.14765096483094,148.02815243185455,136.72905552661496
1778588872.4098418,20:27:52.40,172.78962053317207,177.26510198995715,168.44240802726873,168.84903398927256,44.032986853231854,53.46300536578157,111.19798889562287,122.70009420207393,88.99580558700454,94.25189035570645,154.86227248927773,136.15522389931567
1778588872.5937052,20:27:52.59,173.53935294641607,176.8626311033748,165.21751910004866,165.2687167816906,48.315454140255255,63.9084526528866,107.47844168540324,135.6367698922957,94.2977261881289,118.75977782543313,152.76215570186088,95.24301154178758
1778588872.7729812,20:27:52.77,174.77792545216352,174.32583499778823,167.5224733690546,161.8883478716952,67.01766941722826,119.58200085635403,95.19415805202415,81.6635024379886,106.41569559586648,138.37056180209478,145.75114558719764,59.70326043098487
1778588872.9450035,20:27:52.94,174.23472211574057,170.89737107413887,167.84068836333728,161.36553926009452,41.48746645279893,0.0,87.39914977983037,0.0,103.56153191921017,143.54551710106085,107.89640258444511,48.138354193542085
1778588873.1219516,20:27:53.12,175.4500161210153,174.25921016506794,167.33917491145502,157.2011304641449,65.53561212379077,139.94399070196278,102.33515243697309,88.26532164966817,105.41366501785595,145.8745013066428,124.0449336855985,42.62686868054716
1778588873.2929797,20:27:53.29,175.1333624583151,176.33820831245976,168.62618667329798,154.77942863222594,83.08900985384514,91.59634995588534,111.392283781462,120.67343535451185,107.3786147213075,146.05944461501568,137.17324896410196,51.58408308105111
1778588873.464843,20:27:53.46,173.24513042571851,178.0363539135185,170.36486844016292,154.87426508888666,94.26259413575696,70.70318658584799,113.06870850870014,126.5241872138732,107.25902283628025,144.6515681658024,149.9295526070888,56.76286784568505
1778588873.6401227,20:27:53.64,173.72413921034982,175.585132414025,170.82421037768808,154.96672435892907,93.61667890767934,58.09171984061736,112.33273562380728,127.31362258820485,107.04597404680025,144.02644006536818,155.5179882572071,56.51789854365808
1778588873.9161527,20:27:53.91,174.42877571904387,176.1746222193425,173.00260132430583,155.66148704803027,102.01520603108705,56.85101522811836,112.60373279628155,129.54094400772013,107.41573374811944,144.09782941903384,151.9398613301228,62.55646255811793
1778588874.1553454,20:27:54.15,173.89777591084115,176.45026894833836,170.1883947309832,158.59868157345815,84.16673882422813,56.3719904743882,111.72009496907187,135.92070084718978,109.69145468762476,143.59646554108778,152.07704672639412,66.97379677301083
1778588874.3955748,20:27:54.39,173.31772211223557,177.57705871636375,165.09531856710953,160.08916971456733,93.47371159337058,64.74445286131457,114.62481634656623,131.31618410997254,112.25665700013928,131.2545521634418,152.5925157234827,75.5169598175624
1778588874.6123605,20:27:54.61,172.95462820021245,176.87450486302077,163.35997408717117,161.92263951363182,90.5325359492993,59.536140778168345,119.55629472775101,125.66618279834375,110.96269715243429,122.5330396451149,149.50071650541986,88.7844900809742
1778588874.8585575,20:27:54.85,171.9344495412316,173.2015788918684,163.36540828457066,165.0619239935648,71.24566328790395,54.04129107222521,118.78217790712965,124.4768776192623,109.61674753388002,116.10463231523147,146.63529377504588,97.99393410334926
1778588875.0941024,20:27:55.09,172.32462237315826,169.87980652708853,166.5640690531265,164.70948963683162,57.75181140736427,51.74140056841998,117.30086027164099,118.22923827527471,110.1722941802854,113.62580236897507,153.17691930644202,101.41273252884857
1778588875.3108351,20:27:55.31,170.49338416736566,171.48235983147265,166.46968076781383,165.41978328840793,48.27948612261764,47.869697885489956,117.36580457733098,118.2285922657972,110.28069225359698,115.46159727390447,152.3447812931062,103.69132765353967
1778588875.5062144,20:27:55.50,171.52067795063226,174.52321045934903,165.570326150538,165.14973012180656,44.11626774537375,49.23250418616939,119.09968202760018,121.53443945514131,109.26071706149003,116.37648453023789,147.52224552760185,101.76861708970974
1778588875.6937318,20:27:55.69,171.71177002330143,175.10000763103096,166.2503696790556,164.2942003516368,40.548136548672026,48.37567153782469,117.73297440756184,119.74341798125968,109.58582654015049,113.58446227396522,145.95374918901138,102.3329933333655
1778588875.8722785,20:27:55.87,171.69529107459618,174.62239091978043,167.55561667297604,165.46170936777554,36.96524231015161,44.81686272325341,115.45682925467617,118.1602597823574,107.6958831993185,111.79119439292374,145.6950076255363,106.07574520911632
1778588876.0991404,20:27:56.09,172.50762823185948,173.1821893850818,170.1937014363266,164.92658974312238,35.992737124017765,43.4622741610155,114.90591278719239,117.56016489081085,105.61334783450015,108.48704402816017,145.2859836843119,111.4710319087842
1778588876.2930954,20:27:56.29,172.83879692442468,171.6770460459065,168.0402994655708,166.97371696149122,32.462895624214376,43.4078485660132,111.78081635044396,117.3488276483188,99.9501688767717,102.0584865114427,144.18682659992083,115.2010362216775
1778588876.5299916,20:27:56.52,171.6094305366817,173.83125287379147,168.47078964640758,167.70411787740164,32.22575850354055,43.22985219492132,112.51950029575656,117.65158817042385,100.92596630970323,100.63541467448587,145.3458036486595,115.9840626450565
1778588876.742353,20:27:56.74,171.96431839068038,175.44420744682066,168.90615978896074,166.88190065381923,33.712732543288915,45.70843728839928,111.87467394451414,117.83872557140376,100.29839627187384,103.12465407465791,145.52488192055475,115.96197123218082
1778588876.9793088,20:27:56.97,171.94151171983918,176.27202934794252,168.00174298302284,166.24773259950456,36.837272509820565,47.76241035475803,113.67780240619345,119.14246165865882,106.79894000596629,108.88199661844375,144.99343817017382,104.96196637908503
1778588877.1999402,20:27:57.19,171.21845568077197,175.8655691279468,168.39118695509964,166.11754254008642,32.61395976844106,43.58400671641017,108.26260328591513,114.42991256569914,107.85942525602874,110.3755976226906,145.4851800405658,104.51750692788863
1778588877.4251475,20:27:57.42,172.84539412139594,174.1596727427119,168.05666011459948,165.97844001867418,36.94080501194061,27.30885552797727,64.1009085216622,74.31240151898336,119.45573866678305,101.10532735415646,135.44160339394836,104.40288171225097
1778588877.6256497,20:27:57.62,173.26177058815512,173.1971685588141,167.47994237137965,167.31913121740735,76.18719406710758,63.5145055768579,40.97533004052727,45.827242677772304,125.18474708984057,97.45871957023677,122.4053917790228,90.91669011691286
1778588877.8421865,20:27:57.84,173.00970743322972,173.49790921599669,154.32242146083598,170.1800031907108,118.4358765426314,108.89178807618396,33.93005892150137,23.447782405390395,137.68123908630952,101.12092752144679,114.36177370178572,78.80456094531881
1778588878.046798,20:27:58.04,162.6616068101756,167.89270525046055,136.7599939749528,139.2198763684492,131.0464447926115,134.97939900753533,45.792752747729935,34.80029334479208,83.99238098578964,67.74376022944861,87.79777975727782,19.10027520592512
1778588878.27626,20:27:58.27,156.1228129804087,168.11023727237568,126.43781966387482,123.44197397075493,133.76906470825918,144.93276215136441,52.45224816317226,49.54067894026491,79.65703069114713,88.05135341253637,74.71082269014123,26.72092922883624
1778588878.5098085,20:27:58.50,151.46212459477317,168.77127817752466,116.80112861833652,114.38769313099542,51.366392129421335,146.55817867074794,65.5671822654597,56.1092315103121,75.2591847027853,69.52930942597199,73.79692174573836,14.9507386551734
1778588878.710189,20:27:58.71,150.01103053672193,169.021786027988,119.63793289209049,114.73178463062868,72.95360142397739,146.84397063482385,66.1327897382375,56.61710287167918,71.92708323918212,64.48392063283518,77.57765023645983,13.323277787242198
1778588878.9252439,20:27:58.92,149.09090804477765,171.92493836847797,125.27459446728517,117.90758463925886,120.23075839314917,148.40085639712592,61.44389038490765,56.06439801273158,69.53536331747168,94.26771997869643,76.15707888333395,37.29163440971594
1778588879.1911502,20:27:59.19,148.89598005931987,171.07695136183168,115.21244738989213,142.02582439514197,130.2698339845289,147.39919146004016,40.17573073445716,31.89044557351935,111.65339773670121,116.31759553536213,80.05896133829694,38.17615427641529
1778588879.392134,20:27:59.39,162.09806047153447,169.1853814862002,135.3591404632048,154.84397968272413,144.75760864869721,146.74048935693375,30.99183386760897,20.897289823999106,116.49781446983887,120.2291311993671,96.20128233406177,62.52597226791855
1778588879.6259582,20:27:59.62,169.3867919674459,173.4610042240217,155.71571473202368,162.43342270212207,141.1185069519933,146.87070813225878,28.131352296662804,24.594399147726627,130.8787921108305,128.55567163946256,106.87853083080842,68.38135882796932
1778588879.865959,20:27:59.86,173.4115941210564,172.34568844171343,165.69640656528227,166.4713976017473,125.61503400441796,119.8108048145456,34.2561245644103,30.07633661319074,132.3516364882395,132.53553775193328,113.9858520612133,68.85425761766304
1778588880.0665104,20:28:00.06,173.84992628005594,174.35706390467385,165.80187133731567,164.46382778553755,86.54961100031592,86.56555011596562,45.522798142368664,38.9458914677722,127.30980985052814,128.0184476704213,126.08437473991081,72.1351676308999
1778588880.2626417,20:28:00.26,173.97819672377696,175.94942538870413,165.82711889947282,164.9155997472264,59.63802482537534,64.12705258827344,67.66187747626076,68.67460695170764,122.72584049871543,127.51119070874472,140.58972231060415,82.30294154665941
1778588880.4440632,20:28:00.44,171.98704459352894,176.5099537468771,165.09529227579154,164.6450297270425,43.993679930601225,46.18823725871903,89.13274656969611,88.6527018853355,117.30149687781754,124.22592314073094,142.57485517591306,92.88709551875354
1778588880.6160681,20:28:00.61,172.21035417109488,175.2184704784836,164.54070486514595,164.57366917774277,37.98121935766615,37.26193992195581,102.68215563908048,100.4035145341862,114.28436450025828,120.86328996602741,144.08228172375073,98.5842071429324
1778588880.8063722,20:28:00.80,172.19479102591185,174.5352360131077,164.53147807452552,164.59585686340506,37.40292733247974,34.65634239673504,104.76052044349343,104.20070361716728,113.31929427406824,119.0090711812139,143.2552212980054,99.2019931790685
1778588881.0054603,20:28:01.00,170.91161839554567,173.94862859330746,167.5888743294285,164.79369055231223,42.63499744855642,34.51828780094176,102.64025992817275,106.43493826711213,112.97162515520367,119.38411943664622,146.73688980941233,99.05101241037167
1778588881.1918097,20:28:01.19,162.67615258021084,172.43576095682937,163.02975964660112,160.50978074586837,34.85041489323302,32.44735871303031,101.98140387707534,107.87894387917153,114.40460808076011,117.46710541894447,146.19459247108938,97.25433105591267
1778588881.3998575,20:28:01.39,161.80602629568583,162.4357083417711,151.4573454478132,151.8458047350972,32.670883117602166,25.332977081773066,99.75689030100492,103.11892447305362,112.7610805089788,115.13745692645297,141.7951235135303,99.45007289705521
1778588881.6168926,20:28:01.61,164.41721842853843,161.88961625115712,145.850212652399,148.83970995229907,30.51478995116938,24.06788175379144,95.52103584423638,100.13275687374986,106.81889506829174,107.08816787170721,141.24887395883468,107.86403792303118
